County,Population,Population MOE,Uninsured,Uninsured MOE,Uninsured Pct,Uninsured Pct MOE,Population - Under 18 years,Population - Under 18 years MOE,Population - Under 18 years - Uninsured,Population - Under 18 years - Uninsured MOE,Population - Under 18 years - Uninsured Pct,Population - Under 18 years - Uninsured Pct MOE,Population - 18 to 64 years,Population - 18 to 64 years MOE,Population - 18 to 64 years - Uninsured,Population - 18 to 64 years - Uninsured MOE,Population - 18 to 64 years - Uninsured Pct,Population - 18 to 64 years - Uninsured Pct MOE,Population - 65 years and older,Population - 65 years and older MOE,Population - 65 years and older - Uninsured,Population - 65 years and older - Uninsured MOE,Population - 65 years and older - Uninsured Pct,Population - 65 years and older - Uninsured Pct MOE,Population - 19 to 25 years,Population - 19 to 25 years MOE,Population - 19 to 25 years - Uninsured,Population - 19 to 25 years - Uninsured MOE,Population - 19 to 25 years - Uninsured Pct,Population - 19 to 25 years - Uninsured Pct MOE,Male,Male MOE,Male - Uninsured,Male - Uninsured MOE,Male - Uninsured Pct,Male - Uninsured Pct MOE,Female,Female MOE,Female - Uninsured,Female - Uninsured MOE,Female - Uninsured Pct,Female - Uninsured Pct MOE,Race - One Race,Race - One Race MOE,Race - One Race - Uninsured,Race - One Race - Uninsured MOE,Race - One Race - Uninsured Pct,Race - One Race - Uninsured Pct MOE,Race - One Race - White,Race - One Race - White MOE,Race - One Race - White - Uninsured,Race - One Race - White - Uninsured MOE,Race - One Race - White - Uninsured Pct,Race - One Race - White - Uninsured Pct MOE,Race - One Race - Black or African American,Race - One Race - Black or African American MOE,Race - One Race - Black or African American - Uninsured,Race - One Race - Black or African American - Uninsured MOE,Race - One Race - Black or African American - Uninsured Pct,Race - One Race - Black or African American - Uninsured Pct MOE,Race - One Race - American Indian and Alaska Native,Race - One Race - American Indian and Alaska Native MOE,Race - One Race - American Indian and Alaska Native - Uninsured,Race - One Race - American Indian and Alaska Native - Uninsured MOE,Race - One Race - American Indian and Alaska Native - Uninsured Pct,Race - One Race - American Indian and Alaska Native - Uninsured Pct MOE,Race - One Race - Asian,Race - One Race - Asian MOE,Race - One Race - Asian - Uninsured,Race - One Race - Asian - Uninsured MOE,Race - One Race - Asian - Uninsured Pct,Race - One Race - Asian - Uninsured Pct MOE,Race - One Race - Native Hawaiian and Other Pacific Islander,Race - One Race - Native Hawaiian and Other Pacific Islander MOE,Race - One Race - Native Hawaiian and Other Pacific Islander - Uninsured,Race - One Race - Native Hawaiian and Other Pacific Islander - Uninsured MOE,Race - One Race - Native Hawaiian and Other Pacific Islander - Uninsured Pct,Race - One Race - Native Hawaiian and Other Pacific Islander - Uninsured Pct MOE,Race - One Race - Some other race,Race - One Race - Some other race MOE,Race - One Race - Some other race - Uninsured,Race - One Race - Some other race - Uninsured MOE,Race - One Race - Some other race - Uninsured Pct,Race - One Race - Some other race - Uninsured Pct MOE,Race - Two or more races,Race - Two or more races MOE,Race - Two or more races - Uninsured,Race - Two or more races - Uninsured MOE,Race - Two or more races - Uninsured Pct,Race - Two or more races - Uninsured Pct MOE,"White, not Hispanic or Latino","White, not Hispanic or Latino MOE","White, not Hispanic or Latino - Uninsured","White, not Hispanic or Latino - Uninsured MOE","White, not Hispanic or Latino - Uninsured Pct","White, not Hispanic or Latino - Uninsured Pct MOE",Hispanic or Latino (of any race),Hispanic or Latino (of any race) MOE,Hispanic or Latino (of any race) - Uninsured,Hispanic or Latino (of any race) - Uninsured MOE,Hispanic or Latino (of any race) - Uninsured Pct,Hispanic or Latino (of any race) - Uninsured Pct MOE,Household Income,Household Income MOE,Household Income - Uninsured,Household Income - Uninsured MOE,Household Income - Uninsured Pct,Household Income - Uninsured Pct MOE,"Household Income - Under $25,000","Household Income - Under $25,000 MOE","Household Income - Under $25,000 - Uninsured","Household Income - Under $25,000 - Uninsured MOE","Household Income - Under $25,000 - Uninsured Pct","Household Income - Under $25,000 - Uninsured Pct MOE","Household Income - $25,000 to $49,999","Household Income - $25,000 to $49,999 MOE","Household Income - $25,000 to $49,999 - Uninsured","Household Income - $25,000 to $49,999 - Uninsured MOE","Household Income - $25,000 to $49,999 - Uninsured Pct","Household Income - $25,000 to $49,999 - Uninsured Pct MOE","Household Income - $50,000 to $74,999","Household Income - $50,000 to $74,999 MOE","Household Income - $50,000 to $74,999 - Uninsured","Household Income - $50,000 to $74,999 - Uninsured MOE","Household Income - $50,000 to $74,999 - Uninsured Pct","Household Income - $50,000 to $74,999 - Uninsured Pct MOE","Household Income - $75,000 to $99,999","Household Income - $75,000 to $99,999 MOE","Household Income - $75,000 to $99,999 - Uninsured","Household Income - $75,000 to $99,999 - Uninsured MOE","Household Income - $75,000 to $99,999 - Uninsured Pct","Household Income - $75,000 to $99,999 - Uninsured Pct MOE","Household Income - $100,000 and over","Household Income - $100,000 and over MOE","Household Income - $100,000 and over - Uninsured","Household Income - $100,000 and over - Uninsured MOE","Household Income - $100,000 and over - Uninsured Pct","Household Income - $100,000 and over - Uninsured Pct MOE",Ratio of Income to Poverty Level,Ratio of Income to Poverty Level MOE,Ratio of Income to Poverty Level - Uninsured,Ratio of Income to Poverty Level - Uninsured MOE,Ratio of Income to Poverty Level - Uninsured Pct,Ratio of Income to Poverty Level - Uninsured Pct MOE,Ratio of Income to Poverty Level - Under 1.38 of poverty,Ratio of Income to Poverty Level - Under 1.38 of poverty MOE,Ratio of Income to Poverty Level - Under 1.38 of poverty - Uninsured,Ratio of Income to Poverty Level - Under 1.38 of poverty - Uninsured MOE,Ratio of Income to Poverty Level - Under 1.38 of poverty - Uninsured Pct,Ratio of Income to Poverty Level - Under 1.38 of poverty - Uninsured Pct MOE,Ratio of Income to Poverty Level - 1.38 to 1.99 of poverty,Ratio of Income to Poverty Level - 1.38 to 1.99 of poverty MOE,Ratio of Income to Poverty Level - 1.38 to 1.99 of poverty - Uninsured,Ratio of Income to Poverty Level - 1.38 to 1.99 of poverty - Uninsured MOE,Ratio of Income to Poverty Level - 1.38 to 1.99 of poverty - Uninsured Pct,Ratio of Income to Poverty Level - 1.38 to 1.99 of poverty - Uninsured Pct MOE,Ratio of Income to Poverty Level - 2.00 of poverty and over,Ratio of Income to Poverty Level - 2.00 of poverty and over MOE,Ratio of Income to Poverty Level - 2.00 of poverty and over - Uninsured,Ratio of Income to Poverty Level - 2.00 of poverty and over - Uninsured MOE,Ratio of Income to Poverty Level - 2.00 of poverty and over - Uninsured Pct,Ratio of Income to Poverty Level - 2.00 of poverty and over - Uninsured Pct MOE,Location 1
Clearfield,76508,432,7838,644,10.2%,0.8%,15642,99,606,166,3.9%,1.1%,46820,356,7197,572,15.4%,1.2%,14046,201,35,33,0.2%,0.2%,5871,270,1290,228,22%,3.4%,38060,337,4304,419,11.3%,1.1%,38448,207,3534,366,9.2%,0.9%,75964,402,7777,645,10.2%,0.8%,75369,355,7680,636,10.2%,0.8%,74,135,4,15,5.4%,60.1%,77,36,16,18,20.8%,22.5%,370,96,37,36,10%,9.6%,0,24,0,24,,,74,60,40,50,54.1%,36.6%,544,165,61,52,11.2%,8.2%,74402,286,7467,607,10%,0.8%,1090,198,275,205,25.2%,17.6%,76355,437,7825,647,10.2%,0.8%,15993,868,2532,378,15.8%,2%,21525,1060,2456,368,11.4%,1.5%,17681,1107,1488,341,8.4%,1.8%,9902,839,692,247,7%,2.4%,11254,967,657,173,5.8%,1.5%,76142,448,7838,644,10.3%,0.8%,18270,1134,3346,446,18.3%,2.1%,10820,809,1189,237,11%,2%,47052,1183,3303,375,7%,0.8%,"Pennsylvania
(40.789676, -77.858055)"
Beaver,168629,222,12481,843,7.4%,0.5%,34004,20,987,215,2.9%,0.6%,102861,186,11464,783,11.1%,0.8%,31764,188,30,35,0.1%,0.1%,13245,348,2225,219,16.8%,1.7%,81530,190,6704,471,8.2%,0.6%,87099,184,5777,536,6.6%,0.6%,165135,418,12204,833,7.4%,0.5%,153530,285,10471,722,6.8%,0.5%,10017,383,1457,262,14.5%,2.6%,151,147,21,20,13.9%,17.9%,929,91,141,96,15.2%,10.5%,19,20,11,16,57.9%,57.9%,489,154,103,106,21.1%,19.3%,3494,359,277,104,7.9%,2.8%,152112,227,10407,722,6.8%,0.5%,2222,14,179,112,8.1%,5.1%,166808,385,12419,848,7.4%,0.5%,28214,1342,3429,457,12.2%,1.5%,38390,1624,3949,445,10.3%,1.1%,33411,1800,2494,423,7.5%,1.2%,27674,1519,1257,255,4.5%,0.9%,39119,1475,1290,258,3.3%,0.6%,167217,375,12440,844,7.4%,0.5%,29733,1332,4154,461,14%,1.4%,18903,1200,2239,339,11.8%,1.7%,118581,1605,6047,509,5.1%,0.4%,"Pennsylvania
(40.789676, -77.858055)"
Forest,4289,470,375,180,8.7%,3.5%,634,70,0,15,0%,3.9%,2257,455,372,180,16.5%,5.4%,1398,109,3,4,0.2%,0.3%,107,170,43,103,40.2%,59.8%,2014,413,173,156,8.6%,6.5%,2275,94,202,54,8.9%,2.3%,4251,463,364,172,8.6%,3.3%,4146,461,357,170,8.6%,3.4%,20,17,0,15,0%,58.2%,28,27,4,5,14.3%,21.8%,34,26,3,4,8.8%,14.4%,0,15,0,15,,,23,26,0,15,0%,54.2%,38,34,11,23,28.9%,50.2%,4119,455,357,170,8.7%,3.4%,69,77,0,15,0%,29.5%,4239,474,375,180,8.8%,3.5%,1124,155,154,83,13.7%,6.5%,1403,238,117,73,8.3%,4.4%,864,139,61,35,7.1%,3.7%,503,141,30,45,6%,8%,345,105,13,13,3.8%,3.4%,4265,471,375,180,8.8%,3.5%,1069,166,146,75,13.7%,6.1%,546,125,74,49,13.6%,6.9%,2650,342,155,93,5.8%,3%,"Pennsylvania
(40.789676, -77.858055)"
Mifflin,46167,128,7130,676,15.4%,1.5%,10657,49,2032,385,19.1%,3.6%,26868,91,4980,420,18.5%,1.6%,8642,107,118,63,1.4%,0.7%,3424,185,876,174,25.6%,4.9%,22834,112,3678,377,16.1%,1.6%,23333,127,3452,373,14.8%,1.6%,45663,138,7064,681,15.5%,1.5%,45048,143,6902,671,15.3%,1.5%,313,62,38,28,12.1%,8.7%,23,26,3,6,13%,22.7%,206,64,75,78,36.4%,32.1%,7,11,7,11,100%,98.3%,66,49,39,43,59.1%,38%,504,99,66,57,13.1%,10.8%,44630,134,6840,671,15.3%,1.5%,564,15,101,48,17.9%,8.6%,46102,132,7124,675,15.5%,1.5%,9511,817,2158,510,22.7%,4.7%,14066,990,2341,395,16.6%,2.6%,10464,784,1105,240,10.6%,2.2%,6841,792,792,342,11.6%,4.9%,5220,641,728,301,13.9%,5%,45876,164,7099,676,15.5%,1.5%,12286,818,3405,653,27.7%,4.7%,6625,662,1095,247,16.5%,3.4%,26965,887,2599,462,9.6%,1.7%,"Pennsylvania
(40.789676, -77.858055)"
Cameron,4888,58,404,116,8.3%,2.4%,884,27,50,49,5.7%,5.6%,2934,27,354,81,12.1%,2.8%,1070,45,0,10,0%,2.3%,283,26,58,25,20.5%,8.8%,2433,25,243,73,10%,3%,2455,54,161,57,6.6%,2.3%,4851,62,404,116,8.3%,2.4%,4808,56,392,115,8.2%,2.4%,20,17,5,14,25%,68.8%,13,13,2,3,15.4%,20.4%,10,11,5,7,50%,49.9%,0,10,0,10,,,0,10,0,10,,,37,24,0,10,0%,42.8%,4778,56,380,114,8%,2.4%,30,3,12,10,40%,33.9%,4845,67,393,115,8.1%,2.4%,926,142,77,43,8.3%,4.2%,1528,161,123,39,8%,2.4%,936,141,69,30,7.4%,2.9%,813,169,120,103,14.8%,11.2%,642,151,4,6,0.6%,0.9%,4866,61,404,116,8.3%,2.4%,1013,147,111,49,11%,4.3%,764,129,81,33,10.6%,3.8%,3089,167,212,104,6.9%,3.3%,"Pennsylvania
(40.789676, -77.858055)"
Carbon,64098,223,6757,702,10.5%,1.1%,13002,78,532,143,4.1%,1.1%,39414,146,6181,659,15.7%,1.7%,11682,182,44,47,0.4%,0.4%,4398,207,1017,251,23.1%,5.7%,31587,181,3538,419,11.2%,1.3%,32511,222,3219,423,9.9%,1.3%,63219,294,6705,713,10.6%,1.1%,61677,268,6326,681,10.3%,1.1%,725,182,93,79,12.8%,9.7%,118,96,78,88,66.1%,35.7%,320,96,137,76,42.8%,22.5%,0,24,0,24,,,379,185,71,67,18.7%,15%,879,238,52,67,5.9%,7.4%,59797,189,5929,652,9.9%,1.1%,2386,29,475,126,19.9%,5.3%,63983,224,6717,705,10.5%,1.1%,10026,864,1593,287,15.9%,2.5%,16758,1125,2057,405,12.3%,2.2%,14784,1250,1889,481,12.8%,2.8%,10414,1190,700,221,6.7%,2%,12001,1268,478,172,4%,1.4%,63877,252,6754,703,10.6%,1.1%,12800,1097,2349,373,18.4%,2.6%,7723,760,1398,311,18.1%,3.4%,43354,1337,3007,529,6.9%,1.2%,"Pennsylvania
(40.789676, -77.858055)"
Cumberland,233159,454,16905,1301,7.3%,0.6%,48909,47,2424,409,5%,0.8%,147162,366,14333,1063,9.7%,0.7%,37088,304,148,80,0.4%,0.2%,22859,455,3026,374,13.2%,1.6%,113228,398,9234,877,8.2%,0.8%,119931,269,7671,617,6.4%,0.5%,227549,756,16386,1317,7.2%,0.6%,211471,616,14358,1254,6.8%,0.6%,6065,387,687,152,11.3%,2.4%,195,92,8,9,4.1%,5.3%,7473,419,949,369,12.7%,4.8%,52,68,0,24,0%,35.8%,2293,419,384,177,16.7%,7.5%,5610,617,519,180,9.3%,3%,207781,452,13913,1231,6.7%,0.6%,6866,123,895,200,13%,2.9%,225777,939,16625,1298,7.4%,0.6%,26059,1564,4024,516,15.4%,1.7%,43297,1942,5183,724,12%,1.5%,44639,2131,3282,529,7.4%,1.1%,38552,2565,1927,382,5%,0.9%,73230,2505,2209,408,3%,0.6%,225487,956,16640,1297,7.4%,0.6%,29928,1613,5530,633,18.5%,1.9%,20173,1594,3122,444,15.5%,2%,175386,2259,7988,826,4.6%,0.5%,"Pennsylvania
(40.789676, -77.858055)"
Wyoming,27912,150,2592,223,9.3%,0.8%,5844,66,229,70,3.9%,1.2%,17362,80,2355,206,13.6%,1.2%,4706,149,8,9,0.2%,0.2%,2501,110,440,79,17.6%,3.3%,14035,97,1454,148,10.4%,1.1%,13877,119,1138,150,8.2%,1.1%,27594,146,2558,225,9.3%,0.8%,27260,153,2447,226,9%,0.8%,111,53,8,13,7.2%,13.1%,10,9,2,3,20%,32.4%,133,37,62,45,46.6%,37.1%,0,19,0,19,,,80,42,39,25,48.8%,18.6%,318,54,34,24,10.7%,7.2%,26892,142,2395,221,8.9%,0.8%,457,28,85,41,18.6%,8.6%,27470,247,2573,224,9.4%,0.8%,4043,376,556,96,13.8%,2.2%,6931,563,895,144,12.9%,2%,5659,468,454,129,8%,2.2%,4487,396,234,79,5.2%,1.6%,6350,503,434,140,6.8%,2.1%,27516,219,2581,225,9.4%,0.8%,5204,469,779,116,15%,2.2%,3564,392,548,152,15.4%,3.5%,18748,519,1254,215,6.7%,1.1%,"Pennsylvania
(40.789676, -77.858055)"
Snyder,39590,105,5696,515,14.4%,1.3%,8746,61,1546,360,17.7%,4.1%,24586,86,4041,286,16.4%,1.2%,6258,73,109,43,1.7%,0.7%,4245,175,839,143,19.8%,3.4%,19607,102,2982,258,15.2%,1.3%,19983,98,2714,366,13.6%,1.8%,39259,119,5628,507,14.3%,1.3%,38439,136,5527,504,14.4%,1.3%,313,67,8,14,2.6%,4.4%,25,29,0,22,0%,52%,278,27,76,34,27.3%,11.3%,5,7,5,7,100%,100%,199,106,12,14,6%,7.8%,331,70,68,50,20.5%,13.8%,37897,87,5462,508,14.4%,1.3%,781,10,81,58,10.4%,7.5%,37664,272,5612,507,14.9%,1.4%,5434,450,899,172,16.5%,2.9%,10903,788,1918,324,17.6%,2.5%,9043,837,1444,569,16%,5.5%,5475,597,415,134,7.6%,2.2%,6809,642,936,225,13.7%,3%,37598,278,5617,507,14.9%,1.4%,7660,603,2202,502,28.7%,5.5%,5763,585,1065,189,18.5%,3.4%,24175,753,2350,280,9.7%,1.1%,"Pennsylvania
(40.789676, -77.858055)"
Wayne,48448,506,5016,575,10.4%,1.2%,9491,12,489,173,5.2%,1.8%,29157,471,4492,471,15.4%,1.6%,9800,165,35,50,0.4%,0.5%,3364,175,608,136,18.1%,3.8%,24300,508,2915,353,12%,1.4%,24148,155,2101,295,8.7%,1.2%,48044,498,4977,573,10.4%,1.2%,46975,451,4822,566,10.3%,1.2%,645,180,72,92,11.2%,13.6%,53,26,13,10,24.5%,24.1%,247,57,31,36,12.6%,14.9%,10,21,0,24,0%,82.3%,114,83,39,36,34.2%,20.3%,404,91,39,27,9.7%,6.2%,45776,389,4678,558,10.2%,1.2%,1461,177,182,107,12.5%,6.5%,48112,528,4965,571,10.3%,1.2%,8095,712,1254,284,15.5%,3.2%,11785,793,1475,298,12.5%,2.5%,11211,862,1348,325,12%,2.5%,7688,648,506,136,6.6%,1.6%,9333,671,382,117,4.1%,1.3%,48204,518,5010,575,10.4%,1.2%,9600,762,1589,291,16.6%,2.9%,6031,701,855,214,14.2%,3.2%,32573,815,2566,384,7.9%,1.2%,"Pennsylvania
(40.789676, -77.858055)"
